id,name,description,slot,atk_bonus,def_bonus,hp_bonus,mp_bonus,price,required_class,disposable
1,銅の剣,軽くて扱いやすい銅製の剣,weapon,3,0,0,0,100,,0
2,鋼の剣,頑丈な鋼製の両手剣。戦士・騎士向け,weapon,6,0,0,0,280,"warrior,knight",0
3,魔法の杖,魔力を込めた杖。MPも強化される,weapon,3,0,0,10,200,"mage,priest,bard",0
4,短刀,素早い連撃に特化した短刀,weapon,5,0,0,0,150,"thief,archer",0
5,鉄の拳,武道家専用の鉄製グローブ,weapon,5,2,0,0,180,monk,0
6,皮の鎧,軽くて動きやすい革製の鎧,armor,0,3,10,0,120,,0
7,鎖かたびら,重厚な鎖製の鎧。重戦士向け,armor,0,7,25,0,320,"warrior,knight,monk",0
8,魔法のローブ,魔力を高める特殊素材のローブ,armor,0,2,5,20,220,"mage,priest,bard",0
9,軽革鎧,弓手や盗賊向けの軽量装甲,armor,0,4,15,5,230,"thief,archer",0
10,体力のリング,最大HPを上昇させる不思議な指輪,accessory,0,0,20,0,150,,0
11,魔力のリング,最大MPを上昇させる不思議な指輪,accessory,0,0,0,15,150,,0
12,鋼の腕輪,腕力を高める金属製の腕輪,accessory,2,0,0,0,130,,0
