id,name,class_type,mp_cost,power,effect_type,target_type,duration,cooldown
1,ファイア,mage,10,30,attack,enemy,0,0
2,ヒール,priest,8,40,heal,ally,0,0
3,バックスタブ,thief,6,25,attack,enemy,0,0
4,チャージ,warrior,5,20,attack,enemy,0,0
5,応急手当,all,0,30,heal,ally,0,0
6,挑発,knight,4,5,buff_def,self,3,0
7,シールドバッシュ,knight,6,15,attack,enemy,0,0
8,連射,archer,7,28,attack,enemy,0,0
9,矢雨,archer,10,35,attack,enemy,0,0
10,気合い,monk,0,4,buff_atk,self,3,0
11,連打,monk,0,12,attack,enemy,0,0
12,鼓舞の歌,bard,8,3,buff_atk,all_allies,3,0
13,癒しの歌,bard,14,55,heal,ally,0,0
14,浄化,priest,5,0,cure,ally,0,0
15,毒霧,mage,10,0,poison,all_enemies,3,0
16,目眩まし,thief,7,0,silence,enemy,2,0
17,毒矢,archer,6,0,poison,enemy,3,0
18,鎧裂き,warrior,8,0,def_down,enemy,3,0
